name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,founded_month,founded_year
#waywire,News,1750000,acquired,USA,NY,New York City,New York,1,2012-06-01,2012-06-30,2012-06-30,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
&TV Communications,Games,4000000,operating,USA,CA,Los Angeles,Los Angeles,2,,2010-06-04,2010-09-23,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock' Your Paper,Publishing,40000,operating,EST,Unknown,Tallinn,Tallinn,1,2012-10-26,2012-08-09,2012-08-09,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
(In)Touch Network,Electronics,1500000,operating,GBR,Unknown,London,London,1,2011-04-01,2011-04-01,2011-04-01,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
-R- Ranch and Mine,Tourism,60000,operating,USA,TX,Dallas,Fort Worth,2,2014-01-01,2014-08-17,2014-09-26,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
.Club Domains,Software,7000000,Unknown,USA,FL,Ft. Lauderdale,Oakland Park,1,2011-10-10,2013-05-31,2013-05-31,0,7000000,0,0,0,0,0,0,0,0,0,0,0,0,7000000,0,0,0,0,0,0,10,0
.Fox Networks,Advertising,4912393,closed,ARG,Unknown,Buenos Aires,Buenos Aires,1,,2007-01-16,2007-01-16,0,0,0,4912393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0-6.com,Curated Web,2000000,operating,Unknown,Unknown,Unknown,Unknown,1,2007-01-01,2008-03-19,2008-03-19,0,2000000,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,1,0
01Games Technology,Games,41250,operating,HKG,Unknown,Hong Kong,Hong Kong,1,,2014-07-01,2014-07-01,41250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,3 Listo",E-Commerce,40000,operating,CHL,Unknown,Santiago,Las Condes,1,2012-01-01,2013-02-18,2013-02-18,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
